ef_base_id,native_pes21_id,physical_source_id,canonical_name,status,source_card_id,stats_source_card_id,portrait_asset_id,face_owner_id,commentary_owner_id
181845,181845,628664,Simon Caillet,active,181845,181845,181845,,
181846,181846,628671,Ahmet Tekke,active,181846,181846,181846,,
181847,181847,628673,Oğuzhan Ertem,active,181847,181847,181847,,
181848,181848,628676,Selahattin Sevim,active,181848,181848,181848,,
181849,181849,628677,Ercüment Sancaklı,active,181849,181849,181849,,
181850,181850,628679,Ryan Metu,active,181850,181850,181850,,
181851,181851,628695,José Franco,active,181851,181851,181851,,
181864,181864,628700,Reijin Kou,active,181864,181864,181864,,
181865,181865,628701,Harumu Nabeshima,active,181865,181865,181865,,
181866,181866,628703,Roh Hyeong-Jun,active,181866,181866,181866,,
181869,181869,628705,Thanphisit P.,active,181869,181869,181869,,
181870,181870,628706,Siwat Chomphooviset,active,181870,181870,181870,,
181871,181871,628715,Ratchanon P.,active,181871,181871,181871,,
181876,181876,628716,Samuel Alves,active,181876,181876,181876,,
181884,181884,628722,Tian Nai Koren,active,181884,181884,181884,,
181885,181885,628725,Weslen Júnior,active,181885,181885,181885,,
181886,181886,628726,Leonardo Justiniano,active,181886,181886,181886,,
181887,181887,628730,Álex Calvo,active,181887,181887,181887,,
181893,181893,628731,Louis Rieder,active,181893,181893,181893,,
181894,181894,628735,Arthur Lallias,active,181894,181894,181894,,
181895,181895,628741,Kenay Myrie,active,181895,181895,181895,,
181896,181896,628745,Tanapat Hongkhiao,active,181896,181896,181896,,
181897,181897,628748,Neil Farrugia,active,181897,181897,181897,,
181900,181900,628749,Jake Young,active,181900,181900,181900,,
181901,539499,539499,Zalán Kugyela,active,181901,181901,539499,,539499
181902,181902,628750,Pedro Assis,active,181902,181902,181902,,
181905,181905,628754,Luís Balbo,active,181905,181905,181905,,
181915,539504,539504,Gabriele Casentini,active,181915,181915,539504,,539504
181916,539505,539505,Dominik Drobnič,active,181916,181916,539505,,539505
181917,181917,628757,Eivind Helland,active,181917,181917,181917,,
181925,181925,628764,Matias Lozano,active,181925,181925,181925,,
181926,181926,628766,Andrés Salazar,active,181926,181926,181926,,
181927,181927,628767,Dereck Moncada,active,181927,181927,181927,,
181939,181939,628769,Luis Jeiner Moreno,active,181939,181939,181939,,
181942,181942,628772,Julián Castillo,active,181942,181942,181942,,
181943,181943,628773,Jhon Romana,active,181943,181943,181943,,
181944,181944,628774,Luis Marquínez,active,181944,181944,181944,,
181946,181946,628775,Besfort Zeneli,active,181946,181946,181946,,
181948,181948,628776,Máximo Rodríguez,active,181948,181948,181948,,
181950,181950,628777,Rafiu Durosinmi,active,181950,181950,181950,,
181957,541010,541010,Murad Al Hawsawi,active,16959173,16959173,541010,,541010
181958,541014,541014,Rayan Al Dossary,active,16959174,16959174,541014,,541014
181967,541019,541019,Karam Hadi,active,16959183,16959183,541019,,541019
181968,541029,541029,Zaid Burhan Mahmoud,active,16959184,16959184,541029,,541029
181969,541051,541051,Sultan Majed,active,16959185,16959185,541051,,541051
181970,541054,541054,Tameem Al Qadi,active,16959186,16959186,541054,,541054
181971,181971,628778,Nicolás Blanco,active,181971,181971,181971,,
181972,181972,628781,Tomás López,active,181972,181972,181972,,
181973,181973,628783,Bema Sina,active,181973,181973,181973,,
181974,181974,628784,Álex Sánchez,active,181974,181974,181974,,
181975,181975,628785,Patricio Schroeder,active,181975,181975,181975,,
181977,181977,628786,Máximo Cabrera,active,181977,181977,181977,,
181978,181978,628787,Valentín González,active,181978,181978,181978,,
181979,181979,628790,Baba Diocou,active,181979,181979,181979,,
181980,539549,539549,Keiber Lamadrid,active,181980,181980,539549,,539549
181981,181981,628794,Kevon Gray,active,181981,181981,181981,,
181982,181982,628802,Carlos Pérez,active,181982,181982,181982,,
181987,181987,628811,Jhordy Camacho,active,181987,181987,181987,,
181990,181990,628814,Lucas Herrington,active,181990,181990,181990,,
181993,181993,628815,Javier Domínguez,active,181993,181993,181993,,
181994,181994,628818,Milovan Velásquez,active,181994,181994,181994,,
181995,181995,628826,Pablo Rodríguez,active,181995,181995,181995,,
181996,181996,628827,Joshua Arancibia,active,181996,181996,181996,,
181998,181998,628828,Paolo Giaccone,active,181998,181998,181998,,
182005,182005,628829,Shun Matsuda,active,182005,182005,182005,,
182007,182007,628835,Haruki Hayashi,active,182007,182007,182007,,
182008,182008,628836,A. De Wannemacker,active,182008,182008,182008,,
182009,182009,628852,Björn Menzo,active,182009,182009,182009,,
182015,182015,628857,Federico Rodríguez,active,182015,182015,182015,,
182017,182017,628867,Osmar Giménez,active,182017,182017,182017,,
182020,182020,628882,Theo Bergvall,active,182020,182020,182020,,
182027,182027,628896,Pedro Milans,active,182027,182027,182027,,
182028,182028,628897,Moctar Diop,active,182028,182028,182028,,
182033,182033,628898,Thanawat Deelert,active,182033,182033,182033,,
182034,182034,628899,Achita Nawathit,active,182034,182034,182034,,
182035,182035,628900,Babacar Fati,active,182035,182035,182035,,
182038,182038,628917,Aitor García,active,182038,182038,182038,,
182039,182039,628923,Herman Johansson,active,182039,182039,182039,,
182044,182044,628932,Federico Laurelli,active,182044,182044,182044,,
182046,182046,628935,Rodrigo Marina,active,182046,182046,182046,,
182047,182047,628937,Simon Eriksson,active,182047,182047,182047,,
182053,182053,628954,Kazuki Fukushima,active,182053,182053,182053,,
182054,182054,628956,Francesco Fiorelli,active,182054,182054,182054,,
182055,182055,628958,Álvaro García,active,182055,182055,182055,,
182056,182056,628961,Lucas Sanseviero,active,182056,182056,182056,,
